#256*256
256 1 24.437715 24.437715 
256 2 24.437715 12.358726
256 4 24.437715 11.887012
256 9 24.437715 12.592389
256 16 24.437715 12.121138
256 32 24.437715 12.293880


#512*512
512 1 202.244284 202.244284
512 2 202.244284 107.474376
512 4 202.244284 103.439542
512 9 202.244284 102.532138
512 16 202.244284 102.956661
512 32 202.244284 104.786641


#750*750
750 1 611.797981 611.797981
750 2 611.797981 330.188967
750 4 611.797981 318.164667
750 9 611.797981 315.168462
750 16 611.797981 314.165191
750 32 611.797981 314.936104


