#10
10 1 5.0e-06 5.0e-06
10 4 5.0e-06 0.000546
10 8 5.0e-06 0.000831
10 12 5.0e-06 0.000886
10 16 5.0e-06 0.001092
10 24 5.0e-06 0.00131
10 32 5.0e-06 0.001498
10 48 5.0e-06 0.001855
10 64 5.0e-06 0.002509


#100
100 1 0.001352 0.001352
100 4 0.001352 0.001489
100 8 0.001352 0.003234
100 12 0.001352 0.003737
100 16 0.001352 0.004339
100 24 0.001352 0.004352
100 32 0.001352 0.005522
100 48 0.001352 0.004617
100 64 0.001352 0.003838


#1000
1000 1 1.700045 1.700045
1000 4 1.700045 0.33023
1000 8 1.700045 0.195823
1000 12 1.700045 0.35451
1000 16 1.700045 0.355078
1000 24 1.700045 0.346207
1000 32 1.700045 0.319506
1000 48 1.700045 0.3282
1000 64 1.700045 0.332262
