#256*256
256 1 24.779553 24.779553
256 2 24.779553 12.128103
256 4 24.779553 12.603632
256 9 24.779553 13.072818 
256 16 24.779553 12.270609
256 32 24.779553 12.406755


# 512*512
512 1 205.928210 205.928210
512 2 205.928210 107.648664 
512 4 205.928210 108.972039
512 9 205.928210 109.306391
512 16 205.928210 105.474072
512 32 205.928210 104.988284 


#750*750
750 1 612.600801 612.600801
750 2 612.600801 324.439881
750 4 612.600801 325.890496
750 9 612.600801 328.635310
750 16 612.600801 319.310037
750 32 612.600801 319.816886


