#10
10 1 3.0e-06 3.0e-06
10 4 3.0e-06 0.001219
10 8 3.0e-06 0.002325
10 12 3.0e-06 0.003357
10 16 3.0e-06 0.00423
10 24 3.0e-06 0.006478
10 32 3.0e-06 0.008779
10 48 3.0e-06 0.01286
10 64 3.0e-06 0.01675


#100
100 1 0.001325 0.001325
100 4 0.001325 0.009921
100 8 0.001325 0.019073
100 12 0.001325 0.029095
100 16 0.001325 0.035108
100 24 0.001325 0.057535
100 32 0.001325 0.079677
100 48 0.001325 0.125662
100 64 0.001325 0.168863


#1000
1000 1 1.49742 1.49742
1000 4 1.49742 0.486803
1000 8 1.49742 0.453757
1000 12 1.49742 1.000734
1000 16 1.49742 1.332026
1000 24 1.49742 1.544003
1000 32 1.49742 1.65582
1000 48 1.49742 1.895569
1000 64 1.49742 2.180357


#2000
2000 1 16.831405 16.831405
2000 4 16.831405 4.764532
2000 8 16.831405 4.399739
2000 12 16.831405 8.932701
2000 16 16.831405 8.951938
2000 24 16.831405 9.422445
2000 32 16.831405 9.604496
2000 48 16.831405 9.89679
2000 64 16.831405 10.318788


#3000
3000 1 60.084429 60.084429
3000 4 60.084429 27.257485
3000 8 60.084429 27.132438
3000 12 60.084429 30.523897
3000 16 60.084429 30.288659
3000 24 60.084429 30.775963
3000 32 60.084429 31.065938
3000 48 60.084429 31.561163
3000 64 60.084429 32.464627


#4000
4000 1 143.436246 143.436246
4000 4 143.436246 68.928565
4000 8 143.436246 68.515896
4000 12 143.436246 72.615545
4000 16 143.436246 71.235084
4000 24 143.436246 71.81514
4000 32 143.436246 72.253354
4000 48 143.436246 73.070607
4000 64 143.436246 73.427164


#5000
5000 1 279.930013 279.930013
5000 4 279.930013 137.970392
5000 8 279.930013 135.683469
5000 12 279.930013 140.980665
5000 16 279.930013 138.255388
5000 24 279.930013 139.024171
5000 32 279.930013 139.724895
5000 48 279.930013 140.668106
5000 64 279.930013 141.61062
