10 1  5.0e-06
10 4  0.000479
10 8  0.000698
10 12  0.000779
10 16  0.000897
10 24  0.001136
10 32  0.001351
10 48  0.001759
10 64  0.002065
100 1  0.001351
100 4  0.001288
100 8  0.002502
100 12  0.003584
100 16  0.003763
100 24  0.0045
100 32  0.004375
100 48  0.004023
100 64  0.003967
1000 1  1.501029
1000 4  0.298282
1000 8  0.151508
1000 12  0.345683
1000 16  0.263686
1000 24  0.291194
1000 32  0.283317
1000 48  0.290615
1000 64  0.303815
2000 1  16.840661
2000 4  4.256325
2000 8  3.284904
2000 12  2.768639
2000 16  2.639957
2000 24  2.494702
2000 32  2.297217
2000 48  2.225535
2000 64  2.20297
3000 1  60.217346
3000 4  26.413196
3000 8  26.246114
3000 12  22.104973
3000 16  19.141369
3000 24  13.939452
3000 32  12.649749
3000 48  11.60532
3000 64  11.44948
4000 1  143.470441
4000 4  67.202026
4000 8  67.056239
4000 12  63.825016
4000 16  61.284022
4000 24  53.658104
4000 32  44.486659
4000 48  34.804974
4000 64  32.619326
5000 1  280.11012
5000 4  134.716262
5000 8  133.722888
5000 12  130.836274
5000 16  128.997134
5000 24  122.335935
5000 32  113.596537
5000 48  93.103204
5000 64  75.231292
